arrival_time,input_tokens,output_tokens
457.563,994,805
457.833,4243,404
457.867,387,102
458.047,10826,65
458.188,1301,250
458.188,8814,328
458.521,374,87
458.546,1754,116
458.622,1178,61
458.692,3851,124
458.715,1231,33
458.715,1464,64
458.744,378,41
458.835,1464,79
458.945,2195,148
459.086,882,134
459.193,1277,15
459.297,608,201
459.834,2888,454
459.835,1242,132
459.946,1361,5
459.966,686,82
460.084,819,2
460.199,984,126
460.2,2258,145
460.246,9157,300
460.31,2092,28
460.311,452,222
460.405,1787,31
460.44,1236,250
460.495,2371,11
460.693,1149,28
461.19,1264,22
461.561,745,132
461.594,854,93
461.864,1612,96
462.061,999,26
462.062,1863,245
462.215,1236,500
462.243,880,8
462.266,4000,318
462.296,896,5
462.59,1169,78
462.715,1433,103
462.837,691,44
463.44,1787,8
463.517,1481,34
463.59,1170,69
463.816,1480,109
463.951,1169,92
464.088,9769,98
464.151,1256,1
464.34,996,231
464.494,11228,248
464.495,4180,115
464.69,345,41
464.767,1236,216
464.768,262,39
465.266,685,80
465.266,945,120
465.438,3939,276
465.443,1446,33
465.59,2626,345
465.817,1721,26
466.044,1361,5
466.15,687,54
466.441,4200,86
466.509,1015,176
466.563,659,130
466.568,3799,104
467.401,1174,90
467.506,3997,339
467.516,620,199
467.651,3756,58
468.151,1553,116
468.508,8827,300
468.546,4397,388
468.697,717,21
468.94,686,41
469.121,2442,244
469.315,1400,24
469.545,2778,373
470.006,783,271
470.016,4135,364
470.063,2882,328
470.068,3917,271
470.316,819,3
470.563,1494,34
470.586,1622,43
470.651,620,18
470.834,794,40
471.563,5273,156
472.067,1714,86
472.248,3887,350
472.261,375,1
472.742,517,614
472.816,964,102
474.261,3799,147
474.297,626,247
474.651,436,222
474.816,97,7
475.258,1659,122
475.293,616,248
475.317,5240,587
475.345,453,165
475.996,4395,466
476.1,1070,24
476.402,6319,163
478.34,794,40
478.403,3982,378
478.651,3343,73
478.902,359,170
479.441,986,893
479.594,318,436
479.902,819,3
482.25,1575,63
482.404,2542,202
482.443,643,1
484.752,4956,157
485.325,210,17
485.943,1192,1
487.51,4718,212
488.403,1698,78
488.741,702,73
489.459,975,1
489.992,1370,69
491.188,229,914
491.266,888,8
491.715,303,37
492.335,2863,2158
493.24,1011,119
494.991,399,143
496.746,347,1000
497.265,907,8
497.692,7771,671
497.759,1221,33
500.315,878,8
501.348,372,193
501.709,5568,536
501.802,840,79
503.316,3051,166
503.864,3631,524
506.815,9339,2170
507.242,891,1000
508.019,335,92
508.62,986,530
509.694,1152,473
510.586,224,16
512.314,720,687
514.042,5284,42
514.199,762,8
517.022,595,600
518.992,604,705
520.015,1465,230
521.756,1124,34
